Coeficiente,Pescoco,Biceps,Antebraco,Peito,Cintura,Quadris,Coxas,Panturrilha
0.371,37.2,34.9,29.0,97.2,72.8,87.4,52.4,34.9
0.372,37.2,34.9,29.1,97.4,72.9,87.6,52.4,34.9
0.373,37.3,35.0,29.1,97.5,73.0,87.7,52.5,35.0
0.374,37.3,35.0,29.2,97.6,73.1,87.8,52.6,35.0
0.375,37.4,35.1,29.2,97.8,73.2,87.9,52.7,35.1
0.376,37.4,35.1,29.3,97.9,73.3,88.0,52.8,35.1
0.377,37.5,35.2,29.3,98.0,73.4,88.1,52.8,35.2
0.378,37.5,35.2,29.4,98.2,73.5,88.3,52.9,35.2
0.379,37.6,35.3,29.4,98.3,73.6,88.4,53.0,35.3
0.380,37.6,35.3,29.5,98.5,73.7,88.5,53.1,35.3
0.381,37.6,35.4,29.5,98.6,73.8,88.6,53.1,35.4
0.382,37.7,35.4,29.6,98.7,73.9,88.7,53.2,35.4
0.383,37.7,35.5,29.6,98.9,74.0,88.8,53.3,35.5
0.384,37.8,35.5,29.7,99.0,74.1,89.0,53.4,35.5
0.385,37.8,35.6,29.7,99.1,74.2,89.1,53.5,35.6
0.386,37.9,35.6,29.8,99.3,74.3,89.2,53.5,35.6
0.387,37.9,35.7,29.8,99.4,74.4,89.3,53.6,35.7
0.388,38.0,35.7,29.9,99.5,74.5,89.4,53.7,35.7
0.389,38.0,35.8,29.9,99.7,74.6,89.5,53.8,35.8
0.390,38.1,35.8,30.0,99.8,74.7,89.7,53.8,35.8
0.391,38.2,35.9,30.0,100.0,74.7,89.8,53.9,35.9
0.392,38.2,35.9,30.0,100.1,74.8,89.9,54.0,35.9
0.393,38.3,36.0,30.1,100.2,74.8,90.0,54.1,36.0
0.394,38.3,36.0,30.1,100.3,74.9,90.2,54.1,36.0
0.395,38.4,36.0,30.2,100.5,75.0,90.3,54.2,36.0
0.396,38.4,36.1,30.2,100.6,75.0,90.4,54.3,36.1
0.397,38.5,36.1,30.2,100.7,75.1,90.5,54.4,36.1
0.398,38.5,36.2,30.3,100.9,75.1,90.6,54.5,36.2
0.399,38.6,36.2,30.3,101.0,75.2,90.8,54.5,36.2
0.400,38.7,36.3,30.3,101.1,75.2,90.9,54.6,36.3
0.401,38.7,36.3,30.4,101.3,75.3,91.0,54.7,36.3
0.402,38.8,36.4,30.4,101.4,75.4,91.1,54.8,36.4
0.403,38.8,36.4,30.5,101.5,75.4,91.3,54.8,36.4
0.404,38.9,36.5,30.5,101.7,75.5,91.4,54.9,36.5
0.405,38.9,36.5,30.5,101.8,75.5,91.5,55.0,36.5
0.406,39.0,36.6,30.6,101.9,75.6,91.6,55.1,36.6
0.407,39.0,36.6,30.6,102.1,75.6,91.7,55.1,36.6
0.408,39.1,36.7,30.6,102.2,75.7,91.9,55.2,36.7
0.409,39.2,36.7,30.7,102.3,75.7,92.0,55.3,36.7
0.410,39.2,36.8,30.7,102.5,75.8,92.1,55.4,36.8
0.411,39.3,36.8,30.8,102.6,75.9,92.2,55.4,36.8
0.412,39.3,36.8,30.8,102.7,75.9,92.4,55.5,36.8
0.413,39.4,36.9,30.8,102.9,76.0,92.5,55.6,36.9
0.414,39.4,36.9,30.9,103.0,76.0,92.6,55.7,36.9
0.415,39.5,37.0,30.9,103.1,76.1,92.7,55.7,37.0
0.416,39.5,37.0,31.0,103.2,76.1,92.8,55.8,37.0
0.417,39.6,37.1,31.0,103.4,76.2,93.0,55.9,37.1
0.418,39.6,37.1,31.0,103.5,76.3,93.1,55.9,37.1
0.419,39.7,37.2,31.1,103.6,76.5,93.2,56.0,37.2
0.420,39.7,37.2,31.1,103.8,76.6,93.3,56.1,37.2
0.421,39.8,37.3,31.1,103.9,76.8,93.4,56.1,37.3
0.422,39.8,37.3,31.2,104.0,76.9,93.6,56.2,37.3
0.423,39.9,37.4,31.2,104.1,77.1,93.7,56.3,37.4
0.424,39.9,37.4,31.2,104.3,77.2,93.8,56.3,37.4
0.425,40.0,37.4,31.3,104.4,77.4,93.9,56.4,37.4
0.426,40.0,37.5,31.3,104.5,77.5,94.0,56.5,37.5
0.427,40.1,37.5,31.4,104.6,77.7,94.1,56.5,37.5
0.428,40.1,37.6,31.4,104.8,77.8,94.3,56.6,37.6
0.429,40.2,37.6,31.4,104.9,77.9,94.4,56.6,37.6
0.430,40.2,37.7,31.5,105.0,78.1,94.5,56.7,37.7
0.431,40.3,37.7,31.5,105.2,78.2,94.6,56.8,37.7
0.432,40.3,37.8,31.5,105.3,78.4,94.7,56.8,37.8
0.433,40.3,37.8,31.6,105.4,78.5,94.9,56.9,37.8
0.434,40.4,37.9,31.6,105.5,78.7,95.0,57.0,37.9
0.435,40.4,37.9,31.6,105.7,78.8,95.1,57.0,37.9
0.436,40.5,37.9,31.7,105.8,79.0,95.2,57.1,37.9
0.437,40.5,38.0,31.7,105.9,79.1,95.3,57.2,38.0
0.438,40.6,38.0,31.8,106.0,79.2,95.4,57.2,38.0
0.439,40.6,38.1,31.8,106.2,79.4,95.6,57.3,38.1
0.440,40.7,38.1,31.8,106.3,79.5,95.7,57.3,38.1
0.441,40.7,38.2,31.9,106.4,79.7,95.8,57.4,38.2
0.442,40.8,38.2,31.9,106.6,79.8,95.9,57.5,38.2
0.443,40.8,38.3,31.9,106.7,80.0,96.0,57.5,38.3
0.444,40.9,38.3,32.0,106.8,80.1,96.1,57.6,38.3
0.445,40.9,38.4,32.0,106.9,80.3,96.3,57.7,38.4
0.446,41.0,38.4,32.0,107.1,80.3,96.4,57.7,38.4
0.447,41.0,38.5,32.1,107.2,80.4,96.5,57.8,38.5
0.448,41.1,38.5,32.1,107.3,80.5,96.6,57.9,38.5
0.449,41.1,38.6,32.2,107.4,80.6,96.7,57.9,38.6
0.450,41.2,38.6,32.2,107.5,80.7,96.8,58.0,38.6
0.451,41.2,38.7,32.3,107.6,80.8,96.9,58.1,38.7
0.452,41.3,38.7,32.3,107.8,80.9,97.0,58.1,38.7
0.453,41.3,38.8,32.3,107.9,80.9,97.1,58.2,38.8
0.454,41.4,38.8,32.4,108.0,81.0,97.3,58.3,38.8
0.455,41.4,38.9,32.4,108.1,81.1,97.4,58.3,38.9
0.456,41.5,38.9,32.5,108.2,81.2,97.5,58.4,38.9
0.457,41.5,39.0,32.5,108.4,81.3,97.6,58.5,39.0
0.458,41.6,39.0,32.6,108.5,81.4,97.7,58.5,39.0
0.459,41.6,39.1,32.6,108.6,81.4,97.8,58.6,39.1
0.460,41.7,39.1,32.6,108.7,81.5,97.9,58.7,39.1
0.461,41.7,39.2,32.7,108.8,81.6,98.0,58.7,39.2
0.462,41.8,39.2,32.7,108.9,81.7,98.1,58.8,39.2
0.463,41.8,39.3,32.8,109.1,81.8,98.2,58.9,39.3
0.464,41.8,39.3,32.8,109.2,81.9,98.4,58.9,39.3
0.465,41.9,39.4,32.9,109.3,82.0,98.5,59.0,39.4
0.466,41.9,39.4,32.9,109.4,82.0,98.6,59.1,39.4
0.467,42.0,39.5,32.9,109.5,82.1,98.7,59.1,39.5
0.468,42.0,39.5,33.0,109.7,82.2,98.8,59.2,39.5
0.469,42.1,39.6,33.0,109.8,82.3,98.9,59.3,39.6
0.470,42.1,39.6,33.1,109.9,82.4,99.0,59.4,39.6
0.471,42.2,39.7,33.1,110.0,82.5,99.1,59.4,39.7
0.472,42.2,39.7,33.1,110.1,82.5,99.2,59.5,39.7
0.473,42.3,39.8,33.2,110.3,82.6,99.3,59.6,39.8
0.474,42.3,39.8,33.2,110.4,82.7,99.5,59.6,39.8
0.475,42.4,39.9,33.3,110.5,82.8,99.6,59.7,39.9
0.476,42.4,39.9,33.3,110.6,82.9,99.7,59.8,39.9
0.477,42.5,40.0,33.3,110.8,83.0,99.8,59.8,40.0
0.478,42.5,40.0,33.4,110.9,83.1,99.9,59.9,40.0
0.479,42.6,40.1,33.4,111.0,83.2,100.0,60.0,40.1
0.480,42.6,40.1,33.4,111.1,83.3,100.1,60.0,40.1
0.481,42.7,40.1,33.5,111.3,83.4,100.3,60.1,40.1
0.482,42.7,40.2,33.5,111.4,83.5,100.4,60.2,40.2
0.483,42.8,40.2,33.6,111.5,83.6,100.5,60.3,40.2
0.484,42.8,40.3,33.6,111.7,83.7,100.6,60.3,40.3
0.485,42.8,40.3,33.6,111.8,83.8,100.7,60.4,40.3
0.486,42.9,40.4,33.7,111.9,83.9,100.8,60.5,40.4
0.487,42.9,40.4,33.7,112.1,84.0,100.9,60.5,40.4
0.488,43.0,40.4,33.7,112.2,84.1,101.0,60.6,40.4
0.489,43.0,40.5,33.8,112.3,84.2,101.2,60.7,40.5
0.490,43.1,40.5,33.8,112.5,84.2,101.3,60.7,40.5
0.491,43.1,40.6,33.8,112.6,84.3,101.4,60.8,40.6
0.492,43.2,40.6,33.9,112.7,84.4,101.5,60.9,40.6
0.493,43.2,40.7,33.9,112.9,84.5,101.6,61.0,40.7
0.494,43.3,40.7,33.9,113.0,84.6,101.7,61.0,40.7
0.495,43.3,40.8,34.0,113.1,84.7,101.8,61.1,40.8
0.496,43.3,40.8,34.0,113.2,84.8,102.0,61.2,40.8
0.497,43.4,40.8,34.0,113.4,84.9,102.1,61.2,40.8
0.498,43.4,40.9,34.1,113.5,85.0,102.2,61.3,40.9
0.499,43.5,40.9,34.1,113.6,85.1,102.3,61.4,40.9
0.500,43.5,41.0,34.1,113.8,85.2,102.4,61.4,41.0
0.501,43.6,41.0,34.2,113.9,85.3,102.5,61.5,41.0
0.502,43.6,41.1,34.2,114.0,85.4,102.6,61.6,41.1
0.503,43.7,41.1,34.3,114.2,85.5,102.8,61.7,41.1
0.504,43.7,41.1,34.3,114.3,85.6,102.9,61.7,41.1
0.505,43.8,41.2,34.3,114.4,85.7,103.0,61.8,41.2
0.506,43.8,41.2,34.4,114.5,85.8,103.1,61.8,41.2
0.507,43.9,41.3,34.4,114.7,85.9,103.2,61.9,41.3
0.508,43.9,41.3,34.4,114.8,86.0,103.3,62.0,41.3
0.509,44.0,41.4,34.5,114.9,86.1,103.4,62.0,41.4
0.510,44.0,41.4,34.5,115.0,86.2,103.5,62.1,41.4
0.511,44.1,41.4,34.5,115.1,86.2,103.6,62.1,41.4
0.512,44.1,41.5,34.6,115.2,86.3,103.7,62.2,41.5
0.513,44.2,41.5,34.6,115.4,86.4,103.8,62.3,41.5
0.514,44.2,41.6,34.6,115.5,86.5,103.9,62.3,41.6
0.515,44.3,41.6,34.7,115.6,86.6,104.0,62.4,41.6
0.516,44.3,41.7,34.7,115.7,86.7,104.1,62.4,41.7
0.517,44.4,41.7,34.7,115.8,86.8,104.2,62.5,41.7
0.518,44.4,41.7,34.8,116.0,86.9,104.3,62.6,41.7
0.519,44.5,41.8,34.8,116.1,87.0,104.4,62.6,41.8
0.520,44.5,41.8,34.8,116.2,87.1,104.5,62.7,41.8
0.521,44.6,41.9,34.9,116.3,87.2,104.6,62.7,41.9
0.522,44.6,41.9,34.9,116.4,87.3,104.7,62.8,41.9
0.523,44.6,42.0,34.9,116.6,87.4,104.8,62.8,42.0
0.524,44.7,42.0,35.0,116.7,87.5,104.9,62.9,42.0
0.525,44.7,42.0,35.0,116.8,87.6,105.0,63.0,42.0
0.526,44.8,42.1,35.0,116.9,87.6,105.1,63.0,42.1
0.527,44.8,42.1,35.1,117.0,87.7,105.2,63.1,42.1
0.528,44.9,42.2,35.1,117.1,87.8,105.3,63.1,42.2
0.529,44.9,42.2,35.1,117.3,87.9,105.4,63.2,42.2
0.530,45.0,42.2,35.2,117.4,88.0,105.5,63.3,42.2
0.531,45.0,42.3,35.2,117.5,88.1,105.6,63.3,42.3
0.532,45.1,42.3,35.2,117.6,88.2,105.7,63.4,42.3
0.533,45.1,42.4,35.3,117.7,88.3,105.8,63.4,42.4
0.534,45.2,42.4,35.3,117.9,88.4,105.9,63.5,42.4
0.535,45.2,42.5,35.3,118.0,88.5,106.0,63.6,42.5
0.536,45.3,42.5,35.4,118.1,88.6,106.1,63.6,42.5
0.537,45.3,42.5,35.4,118.2,88.6,106.2,63.7,42.5
0.538,45.3,42.6,35.4,118.3,88.7,106.3,63.7,42.6
0.539,45.4,42.6,35.5,118.4,88.8,106.4,63.8,42.6
0.540,45.4,42.7,35.5,118.5,88.9,106.5,63.9,42.7
0.541,45.4,42.7,35.5,118.6,89.0,106.6,63.9,42.7
0.542,45.5,42.7,35.6,118.7,89.1,106.7,64.0,42.7
0.543,45.5,42.8,35.6,118.8,89.1,106.8,64.1,42.8
0.544,45.6,42.8,35.6,119.0,89.2,106.9,64.1,42.8
0.545,45.6,42.9,35.7,119.1,89.3,107.1,64.2,42.9
0.546,45.6,42.9,35.7,119.2,89.4,107.2,64.2,42.9
0.547,45.7,43.0,35.8,119.3,89.5,107.3,64.3,43.0
0.548,45.7,43.0,35.8,119.4,89.5,107.4,64.4,43.0
0.549,45.7,43.0,35.8,119.5,89.6,107.5,64.4,43.0
0.550,45.8,43.1,35.9,119.6,89.7,107.6,64.5,43.1
0.551,45.8,43.1,35.9,119.7,89.8,107.7,64.6,43.1
0.552,45.8,43.2,35.9,119.8,89.9,107.8,64.6,43.2
0.553,45.9,43.2,36.0,119.9,90.0,107.9,64.7,43.2
0.554,45.9,43.2,36.0,120.1,90.0,108.0,64.7,43.2
0.555,45.9,43.3,36.0,120.2,90.1,108.1,64.8,43.3
0.556,46.0,43.3,36.1,120.3,90.2,108.2,64.9,43.3
0.557,46.0,43.4,36.1,120.4,90.3,108.3,64.9,43.4
0.558,46.0,43.4,36.1,120.5,90.4,108.4,65.0,43.4
0.559,46.1,43.4,36.2,120.6,90.5,108.5,65.0,43.4
0.560,46.1,43.5,36.2,120.7,90.5,108.6,65.1,43.5
0.561,46.1,43.5,36.2,120.8,90.6,108.7,65.2,43.5
0.562,46.2,43.6,36.3,120.9,90.7,108.8,65.2,43.6
0.563,46.2,43.6,36.3,121.0,90.8,108.9,65.3,43.6
0.564,46.3,43.7,36.3,121.2,90.9,109.0,65.4,43.7
0.565,46.3,43.7,36.4,121.3,90.9,109.1,65.4,43.7
0.566,46.3,43.7,36.4,121.4,91.0,109.2,65.5,43.7
0.567,46.4,43.8,36.4,121.5,91.1,109.3,65.5,43.8
0.568,46.4,43.8,36.5,121.6,91.2,109.4,65.6,43.8
0.569,46.4,43.9,36.5,121.7,91.3,109.5,65.7,43.9
0.570,46.5,43.9,36.5,121.8,91.4,109.6,65.7,43.9
0.571,46.5,43.9,36.6,121.9,91.4,109.7,65.8,43.9
0.572,46.5,44.0,36.6,122.0,91.5,109.8,65.8,44.0
0.573,46.6,44.0,36.6,122.1,91.6,109.9,65.9,44.0
0.574,46.6,44.1,36.7,122.2,91.7,110.0,66.0,44.1
0.575,46.7,44.1,36.7,122.4,91.8,110.1,66.0,44.1
0.576,46.7,44.1,36.7,122.5,91.9,110.2,66.1,44.1
0.577,46.7,44.2,36.8,122.6,91.9,110.3,66.2,44.2
0.578,46.8,44.2,36.8,122.7,92.0,110.4,66.2,44.2
0.579,46.8,44.2,36.8,122.8,92.1,110.5,66.3,44.2
0.580,46.9,44.3,36.9,122.9,92.2,110.6,66.3,44.3
0.581,46.9,44.3,36.9,123.0,92.3,110.7,66.4,44.3
0.582,46.9,44.4,36.9,123.1,92.4,110.8,66.5,44.4
0.583,47.0,44.4,36.9,123.2,92.5,110.9,66.5,44.4
0.584,47.0,44.4,37.0,123.3,92.5,111.0,66.6,44.4
0.585,47.1,44.5,37.0,123.4,92.6,111.1,66.6,44.5
0.586,47.1,44.5,37.0,123.5,92.7,111.2,66.7,44.5
0.587,47.1,44.6,37.1,123.6,92.8,111.3,66.8,44.6
0.588,47.2,44.6,37.1,123.8,92.9,111.4,66.8,44.6
0.589,47.2,44.6,37.1,123.9,93.0,111.5,66.9,44.6
0.590,47.2,44.7,37.2,124.0,93.0,111.6,67.0,44.7
0.591,47.3,44.7,37.2,124.1,93.1,111.7,67.0,44.7
0.592,47.3,44.8,37.2,124.2,93.2,111.8,67.1,44.8
0.593,47.4,44.8,37.3,124.3,93.3,111.9,67.1,44.8
0.594,47.4,44.8,37.3,124.4,93.4,112.0,67.2,44.8
0.595,47.4,44.9,37.3,124.5,93.5,112.1,67.3,44.9
0.596,47.5,44.9,37.3,124.6,93.6,112.2,67.3,44.9
0.597,47.5,44.9,37.4,124.7,93.6,112.3,67.4,44.9
0.598,47.6,45.0,37.4,124.8,93.7,112.4,67.4,45.0
0.599,47.6,45.0,37.4,124.9,93.8,112.5,67.5,45.0
0.600,47.6,45.1,37.5,125.0,93.9,112.6,67.6,45.1
0.601,47.7,45.1,37.5,125.2,94.0,112.7,67.6,45.1
0.602,47.7,45.1,37.5,125.3,94.1,112.8,67.7,45.1
0.603,47.8,45.2,37.6,125.4,94.1,112.9,67.8,45.2
0.604,47.8,45.2,37.6,125.5,94.2,113.0,67.8,45.2
